,customer_id,churn_risk_score
0,fffe43004900440031003700300030003400,3
1,fffe43004900440031003900370037003300,3
2,fffe43004900440034003800360037003000,3
3,fffe43004900440036003200370033003400,2
4,fffe43004900440035003000370031003900,5
5,fffe43004900440035003700330030003600,5
6,fffe43004900440034003500360031003900,1
7,fffe430049004400320031003000,1
8,fffe43004900440034003100320030003300,2
9,fffe4300490044003500320033003500,5
10,fffe43004900440032003000320035003500,5
11,fffe43004900440033003600300032003000,3
12,fffe43004900440033003400320031003900,3
13,fffe43004900440031003900350037003100,3
14,fffe43004900440031003300320038003200,5
15,fffe43004900440036003100310035003800,5
16,fffe43004900440035003700380032003700,1
17,fffe43004900440034003900360037003200,5
18,fffe43004900440035003000350034003200,5
19,fffe43004900440032003000390038003500,5
20,fffe43004900440035003800370036003400,5
21,fffe43004900440035003700300038003300,2
22,fffe43004900440035003100340033003200,3
23,fffe43004900440033003600370032003800,2
24,fffe43004900440036003000330036003700,2
25,fffe43004900440034003900330038003600,5
26,fffe4300490044003400360031003800,2
27,fffe4300490044003100350034003900,3
28,fffe43004900440033003100380033003000,3
29,fffe4300490044003900330035003600,3
30,fffe43004900440032003000380039003100,5
31,fffe43004900440036003100380033003200,2
32,fffe43004900440032003900300034003600,3
33,fffe4300490044003100340037003300,3
34,fffe43004900440033003900340035003100,5
35,fffe43004900440032003300330039003400,5
36,fffe4300490044003600340030003500,3
37,fffe43004900440032003100320032003500,5
38,fffe43004900440036003300390032003000,5
39,fffe43004900440032003000390039003600,5
40,fffe4300490044003900320031003400,5
41,fffe43004900440032003700360038003800,1
42,fffe43004900440035003200370033003500,5
43,fffe43004900440035003200390031003800,3
44,fffe43004900440034003200380032003000,5
45,fffe4300490044003800360035003200,2
46,fffe43004900440033003200350036003500,3
47,fffe43004900440031003300380035003800,2
48,fffe43004900440032003900320035003700,3
49,fffe43004900440031003500370038003900,5
50,fffe43004900440034003100340038003200,3
51,fffe4300490044003700310032003500,5
52,fffe43004900440032003100390037003000,5
53,fffe43004900440034003600360033003300,5
54,fffe43004900440033003400300033003100,5
55,fffe43004900440034003700330030003600,3
56,fffe43004900440033003700340039003700,2
57,fffe43004900440034003200390031003500,3
58,fffe43004900440032003800300035003900,3
59,fffe43004900440035003900380039003600,5
